fraudulent_provider,female,tot_suplrs_standard_deviation,tot_suplrs_mean,tot_suplrs_sum,tot_suplr_benes_standard_deviation,tot_suplr_benes_mean,tot_suplr_benes_sum,tot_suplr_clms_standard_deviation,tot_suplr_clms_mean,tot_suplr_clms_sum,tot_suplr_srvcs_standard_deviation,tot_suplr_srvcs_mean,tot_suplr_srvcs_sum,avg_suplr_sbmtd_chrg_standard_deviation,avg_suplr_sbmtd_chrg_mean,avg_suplr_sbmtd_chrg_sum,avg_suplr_mdcr_pymt_amt_standard_deviation,avg_suplr_mdcr_pymt_amt_mean,avg_suplr_mdcr_pymt_amt_sum,bene_unique_cnt_mean,bene_unique_cnt_sum,bene_unique_cnt_standard_deviation,line_svc_cnt_mean,line_svc_cnt_sum,line_svc_cnt_standard_deviation,bene_day_srvc_cnt_mean,bene_day_srvc_cnt_sum,bene_day_srvc_cnt_standard_deviation,average_submitted_chrg_amt_mean,average_submitted_chrg_amt_sum,average_submitted_chrg_amt_standard_deviation,average_medicare_payment_amt_mean,average_medicare_payment_amt_sum,average_medicare_payment_amt_standard_deviation,total_claim_count_mean,total_claim_count_sum,total_claim_count_standard_deviation,total_30_day_fill_count_mean,total_30_day_fill_count_sum,total_30_day_fill_count_standard_deviation,total_day_supply_mean,total_day_supply_sum,total_day_supply_standard_deviation,total_drug_cost_mean,total_drug_cost_sum,total_drug_cost_standard_deviation,bene_count_mean,bene_count_sum,bene_count_standard_deviation
0,0,0,1,7,8,15,60,13,31,126,13,31,126,233.8530142,150.9746617,603.8986468,147.5482288,93.85277526,375.411101,51,1916,55,162,6030,394,161,5969,395,855.1713005,31641.33812,740.6985809,60.522366,2239.327542,33.04032708,72,8960,139,73.5699187,9049.1,140.0393405,2039,250844,3853,28938.43374,3559427.35,172949.9789,14,1754,19
0,0,0,2,2,0,5,5,0,11,11,0,11,11,0.0,66.28636364,66.28636364,0.0,26.01363636,26.01363636,35,989,30,243,6815,345,126,3543,220,109.7920343,3074.176962,95.77540315,42.34394852,1185.630559,35.60217791,31,2541,37,41.93125,3354.5,48.09953707,1171,93699,1444,3745.173375,299613.87,4855.586221,13,1043,12
0,1,2,4,8,0,5,10,6,18,37,5,27,54,203.3207996,206.2304839,412.4609677,82.71768846,76.0641094,152.1282188,40,897,39,86,1911,94,49,1085,62,51.89992083,1141.798258,57.25539747,18.13168675,398.8971086,23.71383054,22,1807,12,25.9325,2074.6,14.31849097,587,46971,441,735.50725,58840.58,1324.64019,9,770,8
0,0,6,6,208,6,9,293,19,26,789,275,119,3599,98.13114515,79.82716549,2394.814965,18.34847212,15.74337021,472.3011062,57,5321,56,213,19851,315,206,19178,316,62.93444043,5852.90296,59.92939212,35.1946165,3273.099335,30.9070653,32,16538,27,53.37422481,27541.1,57.72322289,1532,790676,1760,1140.15907,588322.08,2151.018787,8,4521,7
0,0,0,1,57,0,5,145,15,23,673,99,58,1684,111.97886,104.7942584,3039.033495,36.51524774,27.50374791,797.6086894,24,462,11,42,802,32,42,801,33,269.2618165,5115.974514,82.05751717,98.77458848,1876.717181,40.72987707,17,556,10,19.78125,633.0,12.21800463,507,16238,251,7765.322813,248490.33,26475.23198,7,229,5
0,1,0,1,4,0,5,20,0,18,75,151,177,710,222.0097984,129.256875,517.0275,135.8269818,80.96319683,323.8527873,51,255,28,82,412,54,82,412,54,162.7073272,813.536636,28.79884756,25.03427603,125.1713801,8.238944179,21,216,15,25.05,250.5,21.98480536,605,6055,571,22640.036,226400.36,37258.72262,6,69,3
0,1,0,2,2,0,5,5,0,14,14,0,14,14,0.0,118.7685714,118.7685714,0.0,38.16642857,38.16642857,42,2695,28,58,3766,49,51,3302,46,301.1007037,19270.44504,194.0255007,148.7789891,9521.8553,102.3645337,46,13005,54,61.33701068,17235.7,76.39462058,1811,509015,2277,11366.44822,3193971.95,21574.68802,10,3021,13
0,0,0,2,6,0,5,15,1,13,39,131,128,384,0.786911676,6.636011905,19.90803571,0.456174909,4.609363095,13.82808929,30,3871,25,39,5137,44,39,5137,44,385.1134441,49679.63429,340.3584911,95.89961484,12371.05031,57.94299577,13,65,1,22.8,114.0,10.56882207,561,2807,467,278.556,1392.78,293.1023994,5,25,0
0,0,1,2,12,0,5,25,17,28,142,17,28,142,94.05411189,75.42230769,377.1115385,54.61630261,44.68807407,223.4403704,62,1131,59,87,1577,108,87,1572,108,187.0,3366.0,66.84749984,87.5080243,1575.144437,34.49917593,22,380,10,23.57058824,400.7,12.4327071,638,10847,440,952.4235294,16191.2,2303.001531,8,151,3
0,1,1,3,6,0,5,10,1,13,26,2,24,48,6.633081915,35.03106643,70.06213287,0.041363274,7.821520979,15.64304196,37,1231,29,48,1592,47,48,1592,47,163.8317045,5406.44625,114.7809351,63.70899626,2102.396877,48.35629546,22,2364,12,41.42264151,4390.8,28.05712297,1223,129731,855,589.565,62493.89,969.6906192,6,640,2
0,1,5,5,68,5,8,101,18,22,266,662,405,4861,182.8778257,95.27568307,1143.308197,56.88892296,24.76500307,297.1800369,60,3196,58,88,4667,100,88,4667,100,143.3694274,7598.579653,114.8968819,43.55323499,2308.321455,42.93141392,39,17021,41,69.63758701,30013.8,88.19058605,2042,880167,2644,1868.667842,805395.84,3536.187604,11,5135,11
0,1,3,3,7,0,5,10,6,15,31,24,28,57,80.39880962,143.1494565,286.298913,40.225544,36.42897233,72.85794466,38,1509,44,69,2700,133,69,2699,133,215.819202,8416.948879,189.0941316,69.73785825,2719.776472,44.79848193,37,8830,58,40.25720339,9500.7,59.4756148,1168,275857,1720,1461.104661,344820.7,3698.791569,10,2386,14
0,0,0,1,8,3,14,116,3,14,116,34,58,464,55.38366265,98.19444444,785.5555556,17.74741174,39.43958333,315.5166667,76,7059,81,159,14718,244,159,14711,244,99.50460734,9154.423875,80.13292153,56.10938525,5162.063443,40.51864354,50,1007,41,53.925,1078.5,46.64167862,1460,29216,1317,4259.732,85194.64,5323.464766,26,537,23
0,1,0,1,48,0,5,140,5,14,412,426,180,5048,138.4044024,128.9524264,3610.667939,47.57986454,43.39493266,1215.058114,51,310,30,56,341,34,56,341,34,278.7193039,1672.315823,113.6142704,60.94956137,365.6973682,13.86641676,28,5522,22,43.24183673,8475.4,42.07345816,1215,238220,1307,675.3871939,132375.89,2170.661995,9,1769,6
0,1,6,9,90,10,13,135,20,29,290,64,58,584,20.73498849,33.65969674,336.5969674,11.48687222,13.18435858,131.8435858,64,2596,63,79,3179,105,79,3176,105,294.2240632,11768.96253,131.9512568,102.2590351,4090.361403,44.49295522,41,7445,43,73.34640884,13275.7,84.64804028,2168,392433,2545,2045.563315,370246.96,3187.618937,12,2218,11
0,1,20,24,346,23,28,395,49,68,959,228,202,2831,137.7333764,82.51942192,1155.271907,71.00043844,31.24664363,437.4530108,72,15831,60,110,24103,115,107,23452,116,115.4712057,25288.19404,105.2576492,26.78827019,5866.631171,33.2020658,38,20710,37,80.92917431,44106.4,90.29672233,2382,1298550,2724,5254.984734,2863966.68,13383.24003,12,7036,12
0,0,0,1,11,0,5,35,12,21,151,1451,1083,7585,29.1609587,24.41157997,170.8810598,9.272327722,10.5129182,73.59042738,54,1369,55,202,5072,253,202,5071,253,191.7192471,4792.981178,113.5121885,83.39900088,2084.975022,54.38874956,27,1447,24,38.04230769,1978.2,37.33230923,1092,56831,1059,79250.24269,4121012.62,202215.5038,6,319,4
0,1,5,6,66,3,6,66,9,21,218,55,51,516,140.9683357,78.2803465,782.803465,24.95190202,18.87408576,188.7408576,61,1589,65,85,2219,121,85,2219,121,266.921589,6939.961313,169.5016287,74.42434904,1935.033075,54.50329135,32,8475,30,53.85115385,14001.3,73.30229654,1547,402312,2210,1429.420577,371649.35,2432.804597,9,2464,10
0,0,2,4,186,6,8,390,20,29,1365,1779,609,28017,149.6754691,100.1489381,4606.851153,46.30779838,27.83740399,1280.520584,37,3725,35,55,5488,72,55,5481,72,91.74561755,9082.816137,65.22107119,44.95399184,4450.445192,40.95010412,44,34401,48,56.63498049,43552.3,68.54744317,1548,1191114,2072,1898.40485,1459873.33,3990.041398,12,9361,12
0,0,1,2,103,6,10,397,30,33,1263,184,63,2418,61.11668585,110.8648879,4212.865739,27.23158973,36.76321935,1397.002335,66,4029,43,158,9677,197,158,9677,197,136.4765565,8325.069947,60.64467664,77.61721672,4734.65022,39.90519127,30,2505,44,31.57804878,2589.4,45.16655603,894,73329,1275,1065.458902,87367.63,2072.929538,7,640,6
0,0,1,4,36,0,5,45,3,15,140,14,36,328,165.4738033,108.6436773,977.7930954,27.63402087,19.62962488,176.6666239,39,2395,27,66,4048,73,66,4047,73,139.4861773,8508.656818,95.8092113,62.03829283,3784.335863,41.1210875,62,65150,75,105.9535817,110933.4,147.0785823,3117,3263889,4428,2287.868357,2395398.17,4072.952118,15,16031,17
0,0,1,3,18,0,5,30,8,19,116,8,19,116,109.4128326,303.7464192,1822.478515,44.57910423,83.78860642,502.7316385,13,13,0,14,14,0,14,14,0,1548.857143,1548.857143,0.0,171.4157143,171.4157143,0.0,17,230,5,21.56153846,280.3,7.821928413,599,7798,303,230.6146154,2997.99,217.2068822,10,140,3
0,0,1,4,362,19,23,2118,40,50,4507,177,97,8635,726.4354737,312.3481692,27798.98706,425.0816313,139.5750034,12422.1753,173,39615,431,290,66259,726,279,63679,668,242.9754208,55398.39594,283.3761194,57.93290026,13208.70126,57.8461289,80,32813,102,101.1453202,41065.0,129.5964943,2995,1216124,3867,7220.013892,2931325.64,23969.5254,15,6211,16
0,0,1,2,11,0,5,25,5,18,93,5,18,93,203.1018167,374.497,1872.485,55.72991377,99.81833155,499.0916578,77,12648,117,144,23510,329,96,15691,146,1122.975218,183044.9605,1532.619792,96.85179573,15786.8427,110.6631346,60,9879,54,115.3110429,18795.7,108.797545,3429,559026,3257,3117.604969,508169.61,6752.848922,17,2876,15
0,0,3,4,688,10,9,1432,30,32,4855,1115,406,61011,175.6813024,105.6241554,15843.62331,64.28607657,37.14581462,5571.872193,77,10560,92,141,19336,187,137,18795,188,62.84715382,8610.060073,50.86848796,28.90920991,3960.561758,29.57833736,60,66559,83,86.8415608,95699.4,124.3619156,2481,2735091,3650,2860.7452,3152541.21,6019.449088,13,14656,17
0,0,0,1,1,0,5,5,0,19,19,0,19,19,0.0,546.2005263,546.2005263,0.0,108.5242105,108.5242105,65,3465,55,174,9243,525,103,5511,108,939.3414598,49785.09737,1865.117717,214.6363238,11375.72516,391.3375547,23,545,14,23.79565217,547.3,14.53542626,258,5956,162,536.7226087,12344.62,1317.195369,18,425,12
0,1,1,2,21,5,11,106,38,46,416,38,48,438,32.4770267,38.69526799,348.2574119,15.49400155,20.24163434,182.1747091,76,5364,70,196,13771,374,193,13533,375,181.7104954,12719.73468,99.8646962,77.95787113,5457.050979,44.79445453,18,2012,10,22.2364486,2379.3,14.72099254,641,68690,437,1284.338692,137424.24,2450.53356,6,727,4
0,0,1,2,86,1,5,176,12,22,766,1490,498,16949,103.5133074,113.1788384,3848.080505,40.84072653,42.22647122,1435.700022,17,771,5,24,1048,10,24,1048,10,235.0730312,10108.14034,95.75780125,82.32822541,3540.113693,26.42914616,24,7704,17,27.30192926,8490.9,18.57820253,717,223214,522,1677.651061,521749.48,4931.957365,5,1752,2
0,0,5,4,65,4,6,94,12,20,314,493,160,2405,268.3732827,195.3497539,2930.246308,43.5617896,32.29816467,484.47247,47,5855,54,77,9559,110,76,9425,110,80.37642276,9886.3,96.5327661,34.82631275,4283.636469,43.35843634,35,9195,34,74.15153846,19279.4,92.29034446,2128,553520,2808,1555.922231,404539.78,3328.408337,12,3277,12
0,0,2,3,255,3,6,419,16,27,1832,1253,557,36781,179.7984964,128.0055391,8448.36558,26.08513776,19.78068396,1305.525142,74,3039,82,130,5332,168,130,5332,168,141.4339792,5798.793146,74.92989697,47.10204826,1931.183979,26.82679154,76,72715,115,126.6699684,120209.8,220.9676554,3708,3519535,6648,3246.28393,3080723.45,6426.301012,19,18187,26
0,1,0,1,1,0,5,5,0,50,50,0,50,50,0.0,50.73,50.73,0.0,10.9206,10.9206,51,1852,44,115,4168,124,115,4168,124,145.4549681,5236.37885,58.7418929,59.87111623,2155.360184,18.67697091,23,3441,15,24.50068966,3552.6,15.48114219,658,95417,436,1893.518414,274560.17,4364.769685,5,796,2
0,1,2,4,74,3,6,104,6,17,290,1286,723,12296,20.28891866,24.30223723,413.1380329,7.19228988,5.712067033,97.10513957,29,715,19,45,1082,41,45,1081,41,105.6129261,2534.710227,101.2107953,45.11857202,1082.845728,43.66459787,31,7897,28,43.9715415,11124.8,46.86999392,1284,324888,1406,1277.967036,323325.66,2811.51169,8,2188,7
0,0,0,1,3,0,5,15,0,13,39,1026,784,2353,75.9452081,44.30666667,132.92,12.60647254,7.374242735,22.12272821,139,7791,171,399,22359,765,399,22358,765,135.5,7588.0,70.69833481,67.44502446,3776.92137,35.43702322,23,6547,17,25.50978261,7040.7,20.9862053,643,177586,567,8629.899674,2381852.31,16379.59774,7,1975,5
0,1,2,3,137,7,8,302,16,21,762,454,218,7634,129.9183003,100.2974723,3510.411529,28.50485632,23.06193432,807.1677011,32,1645,23,44,2271,40,44,2271,40,132.7001071,6767.705461,115.5107945,45.92189937,2342.016868,39.72426004,44,29024,51,88.39710366,57988.5,124.3947631,2505,1643394,3620,1698.539329,1114241.8,3072.558246,11,7480,12
0,0,4,3,287,5,6,503,16,28,2079,4411,2042,149097,159.5874454,71.54286302,5222.629,87.00629025,29.21317789,2132.561986,43,2195,48,88,4449,133,88,4448,133,120.0251959,6001.259794,72.2459112,56.19523017,2809.761508,36.23465668,60,67509,93,80.70098478,90143.0,135.717292,2236,2498621,3966,3313.001674,3700622.87,8759.533658,12,14463,18
0,1,0,1,3,0,5,10,2,16,33,2,16,33,30.38634257,131.4736111,262.9472222,38.31073114,45.89088889,91.78177778,91,825,105,157,1416,260,157,1416,260,147.8888889,1331.0,26.67604002,53.01677526,477.1509774,13.48357617,29,1200,32,31.61707317,1296.3,32.63643595,595,24427,522,852.8731707,34967.8,1491.381641,9,374,8
0,0,2,2,5,0,5,10,2,13,26,24,29,58,38.32365035,44.54891304,89.09782609,3.229172207,9.026630435,18.05326087,99,2983,97,274,8222,318,274,8220,318,326.4069104,9792.207311,108.7935805,126.5732304,3797.196912,53.29734186,28,4256,21,37.30866667,5596.3,31.89419365,1082,162337,972,3309.9156,496487.34,12280.45971,6,925,3
0,1,0,7,7,0,5,5,0,15,15,0,35,35,0.0,44.26771429,44.26771429,0.0,6.520857143,6.520857143,35,247,15,83,582,63,83,582,63,126.6203346,886.3423423,23.03053228,67.01501298,469.1050909,14.32813575,63,32862,86,133.3393822,69069.8,237.7497858,3803,1970447,7184,2095.566564,1085503.48,4219.058791,28,14805,34
0,0,2,3,438,6,7,894,17,24,3130,4574,1554,197438,207.6807955,95.97649368,12189.0147,110.7930061,27.34252737,3472.500975,54,2144,54,108,4237,154,108,4237,154,110.9858039,4328.446352,68.69085924,74.86481584,2919.727818,45.31296977,48,39160,66,57.30335404,46129.2,78.3655862,1644,1323597,2341,1981.319118,1594961.89,4096.041318,10,8573,12
0,0,3,4,21,0,5,25,9,19,96,37,47,235,193.1701325,161.9049717,809.5248586,41.56413726,30.47186309,152.3593155,73,1693,85,89,2056,98,88,2042,97,261.9621574,6025.129621,213.872059,52.32398492,1203.451653,38.7774399,36,7783,36,54.9625,11871.9,62.67005391,1563,337808,1903,1192.903565,257667.17,1915.417822,11,2430,12
0,0,0,1,9,5,8,44,1,12,64,1131,847,4239,66.87990735,48.49344712,242.4672356,22.66751093,19.52241729,97.61208645,39,1913,52,88,4230,153,87,4212,153,124.7143111,5986.286932,49.14451196,49.48453342,2375.257604,24.24473374,21,839,12,22.41025641,874.0,13.45111607,498,19444,417,1970.189231,76837.38,5111.93423,11,435,8
0,1,0,1,6,0,5,25,8,18,91,1033,917,4587,13.59492157,34.41156788,172.0578394,5.339668711,19.47535715,97.37678574,27,885,19,543,17383,1056,99,3195,50,131.6946395,4214.228464,118.5581686,59.40379934,1900.921579,52.89675823,33,2212,33,47.9469697,3164.5,66.5966694,1256,82944,2033,24512.10758,1617799.1,46818.2976,11,742,9
0,0,0,2,2,0,5,5,0,13,13,0,25,25,0.0,16.0,16.0,0.0,12.54,12.54,19,19,0,19,19,0,19,19,0,190.0,190.0,0.0,92.06052632,92.06052632,0.0,16,130,8,18.25,146.0,13.53038908,474,3798,445,30904.06125,247232.49,86556.28828,6,50,3
0,0,7,7,646,15,13,1182,39,35,3185,1013,265,23625,112.0828725,82.57552825,7349.222014,30.22902363,23.30112203,2073.799861,108,7491,102,164,11327,200,164,11327,200,104.7722288,7229.283786,74.65013569,59.19070061,4084.158342,41.1356895,60,59589,85,114.0471125,112564.5,180.4236558,3291,3248249,5417,2875.062381,2837686.57,5811.633773,15,15014,19
0,0,2,6,107,2,6,107,12,24,418,45,56,961,78.97720505,55.21266554,938.6153142,16.12128213,9.56211173,162.5558994,27,380,13,71,1005,57,71,1005,57,99.62945189,1394.812326,72.00777034,36.63758012,512.9261216,25.06915684,33,14457,30,50.56767442,21744.1,48.58019925,1474,633966,1468,921.7289302,396343.44,1484.105965,8,3781,7
0,0,1,2,29,0,5,60,7,17,206,8,17,212,1500.548046,1070.349523,12844.19427,903.382555,541.492215,6497.906579,148,24808,244,178,29877,303,178,29794,301,312.9612444,52264.52781,387.6606289,88.87450568,14842.04245,96.63893283,139,47694,208,357.1483871,121787.6,553.8295016,10676,3640676,16607,13094.3773,4465182.66,50751.63971,43,14669,62
0,0,1,3,51,1,5,91,11,23,405,11,23,406,189.6175135,223.6176754,3801.500482,33.84383333,43.33895042,736.7621571,87,3958,69,111,5031,105,111,5031,105,302.9337121,13632.01705,155.5548883,95.70232614,4306.604676,41.50496146,15,588,4,16.36052632,621.7,4.762326224,352,13404,186,154.4578947,5869.4,178.5309762,12,464,6
0,1,0,1,8,0,5,30,9,15,94,10,20,120,146.8807143,105.9395421,635.6372528,22.54498598,17.32443656,103.9466194,65,1766,75,179,4849,306,179,4846,306,168.9799983,4562.459954,92.61968827,65.85595091,1778.110674,29.56087332,65,12062,115,68.52131148,12539.4,119.3228437,1973,361133,3542,4578.949071,837947.68,8736.580616,15,2844,18
0,0,7,7,110,8,10,154,24,31,469,1089,453,6807,182.7275754,120.2854331,1804.281496,55.56438075,35.86324149,537.9486223,60,2715,64,131,5898,176,110,4983,173,81.5740113,3670.830508,66.42182895,42.90233649,1930.605142,46.09115102,56,27345,69,117.0639752,56541.9,166.1410233,3391,1637917,4990,3312.706501,1600037.24,5820.861777,18,8717,22
0,0,0,1,7,0,5,25,7,16,82,1900,952,4760,204.6994657,117.0204007,585.1020037,55.54215791,39.1979062,195.989531,48,2695,43,73,4132,100,73,4132,100,267.3815715,14973.368,195.5625413,81.49738198,4563.853391,38.43592133,15,346,5,16.9,371.8,6.606706549,392,8633,237,697.6495455,15348.29,1927.959178,10,220,7
